Date;Heures;Consommation;t
2017-05-07;18;42151.0;14.52926829268295
2017-05-07;21;44775.0;11.585365853658562
2017-05-08;0;49929.0;10.102439024390264
2017-05-08;3;41464.0;8.885365853658554
2017-05-08;6;39859.0;9.673170731707339
2017-05-08;9;44519.0;13.170731707317092
2017-05-08;12;49730.0;15.107317073170757
2017-05-08;15;46040.0;15.665853658536612
2017-05-08;18;44930.0;13.919512195121975
2017-05-08;21;47367.0;10.787804878048803
2017-05-09;0;50830.0;9.339024390243932
2017-05-09;3;43221.0;7.878048780487832
2017-05-09;6;46692.0;8.600000000000023
2017-05-09;9;57773.0;13.125000000000023
2017-05-09;12;57647.0;16.095121951219532
2017-05-09;15;53916.0;17.32926829268295
2017-05-09;18;50159.0;15.814634146341485
2017-05-09;21;49327.0;11.931707317073188
2017-05-10;0;52380.0;9.331707317073201
2017-05-10;3;44222.0;7.875609756097583
2017-05-10;6;46507.0;9.831707317073196
2017-05-10;9;56436.0;15.568292682926852
2017-05-10;12;56366.0;18.178048780487828
2017-05-10;15;52938.0;18.495121951219538
2017-05-10;18;49913.0;16.992682926829293
2017-05-10;21;48918.0;13.897560975609776
2017-05-11;0;51184.0;12.870731707317091
2017-05-11;3;42327.0;12.0487804878049
2017-05-11;6;43778.0;13.12195121951222
2017-05-11;9;54494.0;15.51463414634149
2017-05-11;12;56550.0;17.404878048780514
2017-05-11;15;54112.0;17.039024390243924
2017-05-11;18;51548.0;15.504878048780512
2017-05-11;21;49585.0;13.526829268292703
2017-05-12;0;51448.0;12.882926829268321
2017-05-12;3;42347.0;12.051219512195143
2017-05-12;6;43894.0;13.065853658536605
2017-05-12;9;54249.0;16.748780487804897
2017-05-12;12;55291.0;18.54146341463417
2017-05-12;15;52319.0;18.314634146341486
2017-05-12;18;49024.0;16.7487804878049
2017-05-12;21;47279.0;13.995121951219533
2017-05-13;0;50354.0;12.700000000000024
2017-05-13;3;40320.0;11.807317073170754
2017-05-13;6;38352.0;12.80487804878051
2017-05-13;9;44413.0;16.365853658536604
2017-05-13;12;47858.0;18.287804878048807
2017-05-13;15;44454.0;18.614634146341484
2017-05-13;18;42153.0;17.060975609756124
2017-05-13;21;42129.0;13.375609756097585
2017-05-14;0;47385.0;12.168292682926852
2017-05-14;3;38068.0;11.602439024390266
2017-05-14;6;35008.0;12.753658536585391
2017-05-14;9;38791.0;17.09268292682929
2017-05-14;12;43937.0;19.46585365853661
2017-05-14;15;40783.0;20.05853658536588
2017-05-14;18;39036.0;18.307500000000022
2017-05-14;21;41851.0;14.07317073170734
2017-05-15;0;46416.0;12.053658536585386
2017-05-15;3;38235.0;10.9878048780488
2017-05-15;6;40410.0;13.236585365853681
2017-05-15;9;51527.0;19.407317073170752
2017-05-15;12;53499.0;22.314634146341486
2017-05-15;15;51284.0;23.26341463414636
2017-05-15;18;48248.0;21.863414634146363
2017-05-15;21;46320.0;17.442500000000027
2017-05-16;0;48669.0;15.092682926829289
2017-05-16;3;39555.0;13.795121951219537
2017-05-16;6;40492.0;15.931707317073188
2017-05-16;9;50903.0;21.78536585365856
2017-05-16;12;53495.0;24.729268292682956
2017-05-16;15;51760.0;25.69268292682929
2017-05-16;18;49008.0;23.636585365853684
2017-05-16;21;46356.0;18.54146341463417
2017-05-17;0;48413.0;16.05609756097563
2017-05-17;3;39240.0;14.634146341463437
2017-05-17;6;39582.0;16.77804878048783
2017-05-17;9;50611.0;22.360975609756125
2017-05-17;12;53836.0;24.455000000000023
2017-05-17;15;52450.0;23.519512195121976
2017-05-17;18;49224.0;20.290243902439048
2017-05-17;21;46876.0;17.039024390243927
2017-05-18;0;48547.0;15.602439024390264
2017-05-18;3;39282.0;14.59024390243905
2017-05-18;6;39892.0;14.921951219512216
2017-05-18;9;51301.0;16.887804878048804
2017-05-18;12;54362.0;17.755000000000024
2017-05-18;15;52173.0;17.053658536585388
2017-05-18;18;49727.0;15.100000000000026
2017-05-18;21;47205.0;12.743902439024412
2017-05-19;0;48637.0;10.951219512195141
2017-05-19;3;39812.0;9.790243902439046
2017-05-19;6;41109.0;10.14390243902441
2017-05-19;9;52729.0;13.209756097560998
2017-05-19;12;54686.0;15.031707317073192
2017-05-19;15;51083.0;15.268292682926852
2017-05-19;18;47845.0;13.897560975609776
2017-05-19;21;45680.0;10.758536585365876
2017-05-20;0;49241.0;9.434146341463435
2017-05-20;3;39505.0;8.595121951219536
2017-05-20;6;37563.0;10.439024390243928
2017-05-20;9;43730.0;14.246341463414659
2017-05-20;12;47508.0;16.34146341463417
2017-05-20;15;44031.0;17.092682926829294
2017-05-20;18;41368.0;16.392682926829288
2017-05-20;21;41319.0;11.91707317073173
2017-05-21;0;47004.0;9.787804878048801
2017-05-21;3;37656.0;8.270731707317099
2017-05-21;6;34582.0;10.99024390243905
2017-05-21;9;38426.0;17.175609756097586
2017-05-21;12;43099.0;20.278048780487822
2017-05-21;15;39750.0;21.639024390243925
2017-05-21;18;37894.0;20.382926829268317
2017-05-21;21;40699.0;15.634146341463437
2017-05-22;0;45258.0;13.419512195121975
2017-05-22;3;37100.0;12.153658536585391
2017-05-22;6;38688.0;14.373170731707347
2017-05-22;9;50422.0;19.741463414634172
2017-05-22;12;52974.0;22.72926829268295
2017-05-22;15;50855.0;23.270731707317097
2017-05-22;18;48196.0;21.00000000000002
2017-05-22;21;45665.0;16.595121951219532
2017-05-23;0;48008.0;14.378048780487832
2017-05-23;3;38862.0;13.300000000000024
2017-05-23;6;39372.0;14.973684210526336
2017-05-23;9;50712.0;18.751219512195142
2017-05-23;12;53335.0;21.385365853658552
2017-05-23;15;51587.0;22.18292682926832
2017-05-23;18;48667.0;20.84146341463417
2017-05-23;21;45886.0;16.700000000000024
2017-05-24;0;48278.0;14.790243902439048
2017-05-24;3;39054.0;13.717073170731732
2017-05-24;6;39486.0;15.69268292682929
2017-05-24;9;50802.0;19.851219512195147
2017-05-24;12;53512.0;22.94146341463417
2017-05-24;15;51938.0;24.060000000000024
